Problem:    final2
Rows:       2943
Columns:    2531 (10 integer, 10 binary)
Non-zeros:  17284
Status:     INTEGER OPTIMAL
Objective:  z = 335282.9337 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   244 Proporcion_Min[3,3,1,3]
                                   0            -0               
   245 Proporcion_Min[3,3,1,4]
                                   0            -0               
   246 Proporcion_Min[3,3,1,5]
                                   0            -0               
   247 Proporcion_Min[3,3,1,6]
                                   0            -0               
   248 Proporcion_Min[3,3,2,1]
                                   0            -0               
   249 Proporcion_Min[3,3,2,2]
                                   0            -0               
   250 Proporcion_Min[3,3,2,3]
                                   0            -0               
   251 Proporcion_Min[3,3,2,4]
                                   0            -0               
   252 Proporcion_Min[3,3,2,5]
                                   0            -0               
   253 Proporcion_Min[3,3,2,6]
                                   0            -0               
   254 Proporcion_Min[3,3,3,1]
                                42.3            -0               
   255 Proporcion_Min[3,3,3,2]
                                49.2            -0               
   256 Proporcion_Min[3,3,3,3]
                                43.5            -0               
   257 Proporcion_Min[3,3,3,4]
                                44.4            -0               
   258 Proporcion_Min[3,3,3,5]
                                42.3            -0               
   259 Proporcion_Min[3,3,3,6]
                                  42            -0               
   260 Proporcion_Min[3,3,4,1]
                                19.5            -0               
   261 Proporcion_Min[3,3,4,2]
                                 1.2            -0               
   262 Proporcion_Min[3,3,4,3]
                                17.4            -0               
   263 Proporcion_Min[3,3,4,4]
                                 2.4            -0               
   264 Proporcion_Min[3,3,4,5]
                                 8.7            -0               
   265 Proporcion_Min[3,3,4,6]
                                10.8            -0               
   266 Proporcion_Min[3,4,1,1]
                                   0            -0               
   267 Proporcion_Min[3,4,1,2]
                                   0            -0               
   268 Proporcion_Min[3,4,1,3]
                                   0            -0               
   269 Proporcion_Min[3,4,1,4]
                                   0            -0               
   270 Proporcion_Min[3,4,1,5]
                                   0            -0               
   271 Proporcion_Min[3,4,1,6]
                                   0            -0               
   272 Proporcion_Min[3,4,2,1]
                                16.1            -0               
   273 Proporcion_Min[3,4,2,2]
                                13.8            -0               
   274 Proporcion_Min[3,4,2,3]
                                14.5            -0               
   275 Proporcion_Min[3,4,2,4]
                             15.1183            -0               
   276 Proporcion_Min[3,4,2,5]
                             10.8817            -0               
   277 Proporcion_Min[3,4,2,6]
                                  13            -0               
   278 Proporcion_Min[3,4,3,1]
                                   0            -0               
   279 Proporcion_Min[3,4,3,2]
                                   0            -0               
   280 Proporcion_Min[3,4,3,3]
                                   0            -0               
   281 Proporcion_Min[3,4,3,4]
                                   0            -0               
   282 Proporcion_Min[3,4,3,5]
                                   0            -0               
   283 Proporcion_Min[3,4,3,6]
                                   0            -0               
   284 Proporcion_Min[3,4,4,1]
                                 3.2            -0               
   285 Proporcion_Min[3,4,4,2]
                                 6.5            -0               
   286 Proporcion_Min[3,4,4,3]
                                 0.7            -0               
   287 Proporcion_Min[3,4,4,4]
                                 4.2            -0               
   288 Proporcion_Min[3,4,4,5]
                                 6.3            -0               
   289 Proporcion_Min[3,4,4,6]
                                 1.5            -0               
   290 Proporcion_Min[4,1,1,1]
                                   0            -0               
   291 Proporcion_Min[4,1,1,2]
                                   0            -0               
   292 Proporcion_Min[4,1,1,3]
                                   0            -0               
   293 Proporcion_Min[4,1,1,4]
                                   0            -0               
   294 Proporcion_Min[4,1,1,5]
                                   0            -0               
   295 Proporcion_Min[4,1,1,6]
                                   0            -0               
   296 Proporcion_Min[4,1,2,1]
                                   0            -0               
   297 Proporcion_Min[4,1,2,2]
                                   0            -0               
   298 Proporcion_Min[4,1,2,3]
                                   0            -0               
   299 Proporcion_Min[4,1,2,4]
                                   0            -0               
   300 Proporcion_Min[4,1,2,5]
                                   0            -0               
   301 Proporcion_Min[4,1,2,6]
                                   0            -0               
   302 Proporcion_Min[4,1,3,1]
                                   0            -0               
   303 Proporcion_Min[4,1,3,2]
                                   0            -0               
   304 Proporcion_Min[4,1,3,3]
                                   0            -0               
   305 Proporcion_Min[4,1,3,4]
                                   0            -0               
   306 Proporcion_Min[4,1,3,5]
                                   0            -0               
   307 Proporcion_Min[4,1,3,6]
                                   0            -0               
   308 Proporcion_Min[4,1,4,1]
                                   0            -0               
   309 Proporcion_Min[4,1,4,2]
                                   0            -0               
   310 Proporcion_Min[4,1,4,3]
                                   0            -0               
   311 Proporcion_Min[4,1,4,4]
                                   0            -0               
   312 Proporcion_Min[4,1,4,5]
                                   0            -0               
   313 Proporcion_Min[4,1,4,6]
                                   0            -0               
   314 Proporcion_Min[4,2,1,1]
                                   0            -0               
   315 Proporcion_Min[4,2,1,2]
                                   0            -0               
   316 Proporcion_Min[4,2,1,3]
                                   0            -0               
   317 Proporcion_Min[4,2,1,4]
                                   0            -0               
   318 Proporcion_Min[4,2,1,5]
                                   0            -0               
   319 Proporcion_Min[4,2,1,6]
                                   0            -0               
   320 Proporcion_Min[4,2,2,1]
                                   0            -0               
   321 Proporcion_Min[4,2,2,2]
                                   0            -0               
   322 Proporcion_Min[4,2,2,3]
                                   0            -0               
   323 Proporcion_Min[4,2,2,4]
                                   0            -0               
   324 Proporcion_Min[4,2,2,5]
                                   0            -0               
   325 Proporcion_Min[4,2,2,6]
                                   0            -0               
   326 Proporcion_Min[4,2,3,1]
                                   0            -0               
   327 Proporcion_Min[4,2,3,2]
                                   0            -0               
   328 Proporcion_Min[4,2,3,3]
                                   0            -0               
   329 Proporcion_Min[4,2,3,4]
                                   0            -0               
   330 Proporcion_Min[4,2,3,5]
                                   0            -0               
   331 Proporcion_Min[4,2,3,6]
                                   0            -0               
   332 Proporcion_Min[4,2,4,1]
                                   0            -0               
   333 Proporcion_Min[4,2,4,2]
                                   0            -0               
   334 Proporcion_Min[4,2,4,3]
                                   0            -0               
   335 Proporcion_Min[4,2,4,4]
                                   0            -0               
   336 Proporcion_Min[4,2,4,5]
                                   0            -0               
   337 Proporcion_Min[4,2,4,6]
                                   0            -0               
   338 Proporcion_Min[4,3,1,1]
                                   0            -0               
   339 Proporcion_Min[4,3,1,2]
                                   0            -0               
   340 Proporcion_Min[4,3,1,3]
                                   0            -0               
   341 Proporcion_Min[4,3,1,4]
                                   0            -0               
   342 Proporcion_Min[4,3,1,5]
                                   0            -0               
   343 Proporcion_Min[4,3,1,6]
                                   0            -0               
   344 Proporcion_Min[4,3,2,1]
                                   0            -0               
   345 Proporcion_Min[4,3,2,2]
                                   0            -0               
   346 Proporcion_Min[4,3,2,3]
                                   0            -0               
   347 Proporcion_Min[4,3,2,4]
                                   0            -0               
   348 Proporcion_Min[4,3,2,5]
                                   0            -0               
   349 Proporcion_Min[4,3,2,6]
                                   0            -0               
   350 Proporcion_Min[4,3,3,1]
                                   0            -0               
   351 Proporcion_Min[4,3,3,2]
                                   0            -0               
   352 Proporcion_Min[4,3,3,3]
                                   0            -0               
   353 Proporcion_Min[4,3,3,4]
                                   0            -0               
   354 Proporcion_Min[4,3,3,5]
                                   0            -0               
   355 Proporcion_Min[4,3,3,6]
                                   0            -0               
   356 Proporcion_Min[4,3,4,1]
                                   0            -0               
   357 Proporcion_Min[4,3,4,2]
                                   0            -0               
   358 Proporcion_Min[4,3,4,3]
                                   0            -0               
   359 Proporcion_Min[4,3,4,4]
                                   0            -0               
   360 Proporcion_Min[4,3,4,5]
                                   0            -0               
   361 Proporcion_Min[4,3,4,6]
                                   0            -0               
   362 Proporcion_Min[4,4,1,1]
                                   0            -0               
   363 Proporcion_Min[4,4,1,2]
                                   0            -0               
   364 Proporcion_Min[4,4,1,3]
                                   0            -0               
   365 Proporcion_Min[4,4,1,4]
                                   0            -0               
   366 Proporcion_Min[4,4,1,5]
                                   0            -0               
   367 Proporcion_Min[4,4,1,6]
                                   0            -0               
   368 Proporcion_Min[4,4,2,1]
                                   0            -0               
   369 Proporcion_Min[4,4,2,2]
                                   0            -0               
   370 Proporcion_Min[4,4,2,3]
                                   0            -0               
   371 Proporcion_Min[4,4,2,4]
                                   0            -0               
   372 Proporcion_Min[4,4,2,5]
                                   0            -0               
   373 Proporcion_Min[4,4,2,6]
                                   0            -0               
   374 Proporcion_Min[4,4,3,1]
                                   0            -0               
   375 Proporcion_Min[4,4,3,2]
                                   0            -0               
   376 Proporcion_Min[4,4,3,3]
                                   0            -0               
   377 Proporcion_Min[4,4,3,4]
                                   0            -0               
   378 Proporcion_Min[4,4,3,5]
                                   0            -0               
   379 Proporcion_Min[4,4,3,6]
                                   0            -0               
   380 Proporcion_Min[4,4,4,1]
                                   0            -0               
   381 Proporcion_Min[4,4,4,2]
                                   0            -0               
   382 Proporcion_Min[4,4,4,3]
                                   0            -0               
   383 Proporcion_Min[4,4,4,4]
                                   0            -0               
   384 Proporcion_Min[4,4,4,5]
                                   0            -0               
   385 Proporcion_Min[4,4,4,6]
                                   0            -0               
   386 Proporcion_Max[1,1,1,1]
                                   0                          -0 
   387 Proporcion_Max[1,1,1,2]
                                   0                          -0 
   388 Proporcion_Max[1,1,1,3]
                                   0                          -0 
   389 Proporcion_Max[1,1,1,4]
                                   0                          -0 
   390 Proporcion_Max[1,1,1,5]
                                   0                          -0 
   391 Proporcion_Max[1,1,1,6]
                                   0                          -0 
   392 Proporcion_Max[1,1,2,1]
                                   0                          -0 
   393 Proporcion_Max[1,1,2,2]
                                   0                          -0 
   394 Proporcion_Max[1,1,2,3]
                                   0                          -0 
   395 Proporcion_Max[1,1,2,4]
                                   0                          -0 
   396 Proporcion_Max[1,1,2,5]
                                   0                          -0 
   397 Proporcion_Max[1,1,2,6]
                                   0                          -0 
   398 Proporcion_Max[1,1,3,1]
                                   0                          -0 
   399 Proporcion_Max[1,1,3,2]
                                   0                          -0 
   400 Proporcion_Max[1,1,3,3]
                                   0                          -0 
   401 Proporcion_Max[1,1,3,4]
                                   0                          -0 
   402 Proporcion_Max[1,1,3,5]
                                   0                          -0 
   403 Proporcion_Max[1,1,3,6]
                                   0                          -0 
   404 Proporcion_Max[1,1,4,1]
                                   0                          -0 
   405 Proporcion_Max[1,1,4,2]
                                   0                          -0 
   406 Proporcion_Max[1,1,4,3]
                                   0                          -0 
   407 Proporcion_Max[1,1,4,4]
                                   0                          -0 
   408 Proporcion_Max[1,1,4,5]
                                   0                          -0 
   409 Proporcion_Max[1,1,4,6]
                                   0                          -0 
   410 Proporcion_Max[1,2,1,1]
                                   0                          -0 
   411 Proporcion_Max[1,2,1,2]
                                   0                          -0 
   412 Proporcion_Max[1,2,1,3]
                                   0                          -0 
   413 Proporcion_Max[1,2,1,4]
                                   0                          -0 
   414 Proporcion_Max[1,2,1,5]
                                   0                          -0 
   415 Proporcion_Max[1,2,1,6]
                                   0                          -0 
   416 Proporcion_Max[1,2,2,1]
                                   0                          -0 
   417 Proporcion_Max[1,2,2,2]
                                   0                          -0 
   418 Proporcion_Max[1,2,2,3]
                                   0                          -0 
   419 Proporcion_Max[1,2,2,4]
                                   0                          -0 
   420 Proporcion_Max[1,2,2,5]
                                   0                          -0 
   421 Proporcion_Max[1,2,2,6]
                                   0                          -0 
   422 Proporcion_Max[1,2,3,1]
                                   0                          -0 
   423 Proporcion_Max[1,2,3,2]
                                   0                          -0 
   424 Proporcion_Max[1,2,3,3]
                                   0                          -0 
   425 Proporcion_Max[1,2,3,4]
                                   0                          -0 
